Car_Name,Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price
Prius,2013,84.73,174319,Hybrid,Individual,Automatic,1,59.89
Hilux,2013,40.91,157451,Diesel,Individual,Automatic,1,21.86
Vitz,2015,46.11,123946,Petrol,Individual,Automatic,0,34.28
Corolla,2021,67.09,53535,Petrol,Dealer,Manual,1,58.51
Prius,2018,74.03,31352,Hybrid,Dealer,Automatic,0,61.17
Vitz,2012,37.27,19293,Petrol,Individual,Manual,1,18.02
Swift,2019,38.41,130492,Petrol,Individual,Automatic,0,29.78
Fortuner,2011,99.72,110043,Diesel,Individual,Manual,1,46.57
Prius,2019,114.2,27329,Hybrid,Dealer,Manual,1,92.52
WagonR,2013,94.43,104713,Petrol,Individual,Automatic,0,53.45
WagonR,2019,12.87,31013,Petrol,Dealer,Manual,0,10.83
Vitz,2011,23.84,112090,Petrol,Individual,Automatic,0,12.69
Hilux,2023,57.76,66190,Diesel,Individual,Manual,0,52.47
Tucson,2014,100.24,23719,Petrol,Dealer,Manual,1,60.88
Tucson,2014,56.06,127866,Petrol,Individual,Automatic,2,33.19
Corolla,2019,10.54,118253,Petrol,Individual,Automatic,0,6.33
Sportage,2019,72.93,10438,Petrol,Individual,Manual,1,61.77
Fortuner,2024,37.71,158440,Diesel,Individual,Automatic,3,33.2
City,2020,17.92,47159,Petrol,Individual,Automatic,1,13.83
Sportage,2022,68.71,124229,Petrol,Dealer,Automatic,0,60.97
Sportage,2018,100.04,5301,Petrol,Individual,Automatic,0,76.85
Fortuner,2020,56.39,18529,Diesel,Dealer,Automatic,0,43.92
Hilux,2017,19.84,170156,Diesel,Dealer,Manual,0,14.03
Mehran,2023,110.07,125965,CNG,Dealer,Manual,0,99.49
Alto,2016,101.16,128789,Petrol,Dealer,Automatic,1,70.31
Vitz,2021,106.24,23300,Petrol,Individual,Automatic,0,89.1
Swift,2014,88.77,158862,Petrol,Individual,Manual,0,55.3
Prius,2018,49,89352,Hybrid,Dealer,Manual,1,37.66
Swift,2015,90.9,104937,Petrol,Individual,Manual,0,70.04
WagonR,2015,105.15,120423,Petrol,Dealer,Automatic,0,77.11
Civic,2011,59.52,74474,Petrol,Individual,Automatic,1,22.85
Sportage,2018,49.32,88010,Petrol,Individual,Manual,1,38.14
Alto,2013,91.13,118763,Petrol,Dealer,Manual,0,47.01
Swift,2015,96.76,81904,Petrol,Individual,Automatic,0,70.25
Yaris,2022,26.53,50893,Petrol,Dealer,Automatic,1,22.74
Civic,2013,58.57,71578,Petrol,Individual,Automatic,1,27.23
Alto,2020,68.31,24362,Petrol,Individual,Automatic,3,57.32
Hilux,2014,58.08,84199,Diesel,Dealer,Automatic,2,41.78
City,2019,39.73,82392,Petrol,Dealer,Automatic,0,29.77
Hilux,2010,109.81,135214,Diesel,Individual,Manual,1,59.23
WagonR,2014,83.27,177800,Petrol,Dealer,Manual,2,47.29
Fortuner,2010,72.07,39448,Diesel,Dealer,Automatic,0,38.82
Prius,2018,105.92,100907,Hybrid,Individual,Manual,0,74.08
Prius,2014,91.11,93792,Hybrid,Dealer,Automatic,3,63.9
Sportage,2020,88.56,109179,Petrol,Individual,Manual,1,77.24
Fortuner,2015,82.7,73724,Diesel,Individual,Automatic,0,60.91
Tucson,2018,43.39,164929,Petrol,Dealer,Manual,1,29.77
Yaris,2016,19.3,16887,Petrol,Dealer,Automatic,3,14.24
Vitz,2012,50.31,102258,Petrol,Individual,Manual,2,23.28
WagonR,2016,113.05,78332,Petrol,Dealer,Automatic,0,80.54
City,2011,117.83,101294,Petrol,Individual,Manual,0,76.19
Sportage,2023,57.84,178740,Petrol,Dealer,Manual,0,49.25
Prius,2019,29.39,150282,Hybrid,Dealer,Manual,2,20.58
Prius,2024,73.94,77685,Hybrid,Dealer,Manual,0,70.38
Sportage,2010,21.03,98911,Petrol,Dealer,Automatic,0,11.82
Cultus,2018,18.96,21661,Petrol,Individual,Automatic,1,14.14
Vitz,2013,113.78,16367,Petrol,Individual,Automatic,1,84.62
Sportage,2016,54.6,33301,Petrol,Individual,Automatic,0,43.11
Corolla,2012,37.35,170957,Petrol,Individual,Automatic,3,17.5
WagonR,2016,17.31,34992,Petrol,Dealer,Automatic,0,12.83
Fortuner,2016,53.42,29926,Diesel,Individual,Automatic,0,39.88
Yaris,2024,60.07,28914,Petrol,Dealer,Manual,0,57.34
Civic,2018,12.84,152216,Petrol,Individual,Manual,0,4.74
Cultus,2023,110.41,18486,Petrol,Individual,Automatic,0,102.61
Yaris,2017,31.56,33368,Petrol,Individual,Automatic,0,24.4
Cultus,2023,69.95,167981,Petrol,Dealer,Automatic,0,62.15
Tucson,2015,46.02,52554,Petrol,Dealer,Automatic,0,26.75
Corolla,2021,66.48,103617,Petrol,Individual,Automatic,0,56.31
Prius,2019,73.97,18791,Hybrid,Dealer,Manual,1,64.11
Fortuner,2020,54.34,164141,Diesel,Individual,Automatic,0,42.49
Cultus,2011,38.29,160486,Petrol,Individual,Automatic,0,19.06
Swift,2013,40.36,60373,Petrol,Dealer,Automatic,0,28.17
Cultus,2012,20.73,144613,Petrol,Dealer,Automatic,0,8.66
Swift,2017,111.01,87066,Petrol,Individual,Automatic,1,82.99
Swift,2015,25.59,167037,Petrol,Individual,Automatic,0,13.22
WagonR,2016,65.73,108747,Petrol,Individual,Automatic,0,41.62
Yaris,2011,66.49,55830,Petrol,Individual,Automatic,1,27.1
Mehran,2011,22.69,56713,CNG,Dealer,Manual,1,10.3
Prius,2020,62.33,152779,Hybrid,Individual,Automatic,2,49.27
Corolla,2017,56.41,84382,Petrol,Individual,Manual,0,45.15
Swift,2010,48.04,80255,Petrol,Dealer,Manual,1,22.86
Vitz,2022,90.24,15753,Petrol,Individual,Manual,0,81.47
Swift,2017,17.8,95030,Petrol,Dealer,Manual,0,9.6
Vitz,2018,75.52,100393,Petrol,Individual,Automatic,0,52.51
Swift,2022,77.92,92726,Petrol,Dealer,Automatic,0,68.16
Hilux,2023,80.85,162994,Diesel,Dealer,Automatic,0,70.38
Alto,2020,85.63,107749,Petrol,Dealer,Manual,0,70.36
Sportage,2012,82.39,142990,Petrol,Dealer,Automatic,0,58.66
Mehran,2015,114.03,132473,CNG,Dealer,Manual,3,84.26
Prius,2011,63.88,146497,Hybrid,Dealer,Automatic,2,28.66
Civic,2012,26.62,168771,Petrol,Dealer,Automatic,0,12.67
Fortuner,2019,38.48,122683,Diesel,Dealer,Manual,0,27.14
Sportage,2013,47.93,154532,Petrol,Individual,Automatic,1,22.22
Cultus,2012,99.13,163508,Petrol,Dealer,Automatic,0,55.54
Tucson,2011,87.1,140242,Petrol,Dealer,Automatic,0,55.55
Vitz,2012,100.74,29042,Petrol,Dealer,Automatic,2,43.04
Cultus,2018,48.63,106231,Petrol,Dealer,Automatic,0,38.32
Hilux,2020,44.22,43285,Diesel,Dealer,Manual,0,34.24
Civic,2022,86.43,122598,Petrol,Dealer,Manual,0,78.78
Hilux,2019,66.17,34146,Diesel,Individual,Manual,0,57.23
Prius,2019,58.11,34060,Hybrid,Individual,Manual,1,45.04
Alto,2016,6.18,97488,Petrol,Dealer,Automatic,0,2.38
City,2011,114.69,147627,Petrol,Dealer,Automatic,2,78.06
City,2014,91.19,98610,Petrol,Dealer,Automatic,0,53.9
WagonR,2021,92.26,39972,Petrol,Dealer,Automatic,0,77
Prius,2020,58.97,130444,Hybrid,Dealer,Manual,0,45.21
Alto,2013,10.99,57289,Petrol,Dealer,Automatic,2,4.35
Vitz,2017,34.88,174581,Petrol,Dealer,Automatic,0,19.2
City,2014,20.19,101474,Petrol,Individual,Automatic,1,8.99
Civic,2017,84.9,101297,Petrol,Individual,Manual,1,67.64
Sportage,2012,68.18,89203,Petrol,Dealer,Manual,0,42.46
Hilux,2016,25,121367,Diesel,Individual,Automatic,0,13.93
Cultus,2014,78.9,20036,Petrol,Dealer,Automatic,0,43.72
Swift,2012,102.75,119864,Petrol,Dealer,Manual,0,48.34
Cultus,2019,9.69,45222,Petrol,Individual,Automatic,0,6.54
Vitz,2015,51.38,175278,Petrol,Individual,Manual,3,38.18
Vitz,2016,110.14,35870,Petrol,Individual,Automatic,1,83.97
Hilux,2024,119.84,57475,Diesel,Dealer,Manual,2,113.91
Fortuner,2011,98.4,88778,Diesel,Individual,Manual,0,59.74
Civic,2021,86.89,172169,Petrol,Dealer,Automatic,0,77.16
Civic,2013,96.1,11890,Petrol,Individual,Automatic,0,44.6
Tucson,2011,13.5,109375,Petrol,Individual,Automatic,1,4.78
City,2020,14.45,127115,Petrol,Individual,Manual,2,8.33
Civic,2022,116.15,118408,Petrol,Dealer,Manual,0,105.46
Tucson,2021,31.7,141025,Petrol,Individual,Manual,0,24.5
Civic,2020,40.52,144848,Petrol,Dealer,Manual,1,31.88
WagonR,2021,108.83,93504,Petrol,Dealer,Manual,0,87.53
Alto,2020,30.03,154982,Petrol,Individual,Manual,0,22.78
Alto,2017,33.92,111454,Petrol,Individual,Automatic,0,26.3
Fortuner,2017,29.26,164032,Diesel,Dealer,Automatic,2,17.24
City,2016,20.91,102134,Petrol,Dealer,Automatic,0,14.91
Civic,2011,11.77,105702,Petrol,Individual,Manual,3,2
Tucson,2019,88.21,54763,Petrol,Dealer,Automatic,3,69.07
Fortuner,2010,16.27,108086,Diesel,Individual,Manual,0,8.56
Fortuner,2019,106.59,176510,Diesel,Individual,Automatic,0,77.47
Tucson,2014,88.94,110710,Petrol,Individual,Manual,0,54.33
Vitz,2014,14.38,137187,Petrol,Individual,Automatic,2,5.37
Civic,2011,50.91,93889,Petrol,Individual,Manual,0,25.94
Swift,2010,21.62,92304,Petrol,Individual,Automatic,0,7.11
Tucson,2019,42.31,108010,Petrol,Individual,Automatic,0,32.14
WagonR,2014,60.14,9361,Petrol,Individual,Automatic,1,30.22
Prius,2024,88.69,169956,Hybrid,Dealer,Automatic,0,80.48
WagonR,2019,31.94,18462,Petrol,Individual,Manual,0,24.2
Cultus,2012,99.67,68490,Petrol,Dealer,Manual,0,58.41
Cultus,2021,29.24,136548,Petrol,Individual,Manual,1,22.49
Yaris,2017,65.9,87248,Petrol,Dealer,Automatic,2,49.04
Prius,2023,88.19,173639,Hybrid,Individual,Automatic,0,80.28
Mehran,2014,93.91,59336,CNG,Individual,Automatic,0,57.09
Hilux,2014,38.81,155333,Diesel,Individual,Automatic,2,15.58
Alto,2010,38.79,25717,Petrol,Individual,Automatic,1,15.72
Sportage,2018,36.91,152329,Petrol,Individual,Manual,0,25.28
Swift,2020,109.19,64158,Petrol,Dealer,Manual,0,92.68
Yaris,2022,21.67,149271,Petrol,Dealer,Automatic,1,16.12
Yaris,2013,92.17,80299,Petrol,Individual,Automatic,1,44.06
WagonR,2013,67.01,14777,Petrol,Dealer,Automatic,2,46.38
Sportage,2016,95.83,53840,Petrol,Individual,Manual,0,65.92
City,2014,57.8,173116,Petrol,Individual,Manual,2,35.34
Corolla,2015,24.52,125301,Petrol,Individual,Manual,0,16
Yaris,2022,28.02,165158,Petrol,Individual,Automatic,0,22.57
Civic,2012,60.43,70024,Petrol,Dealer,Automatic,0,35.13
City,2014,72.4,155176,Petrol,Dealer,Automatic,1,41.36
Corolla,2017,40.98,111277,Petrol,Individual,Manual,1,24.83
Mehran,2013,115.14,130352,CNG,Dealer,Automatic,1,64.28
Vitz,2024,59.67,145907,Petrol,Dealer,Manual,1,53.69
Vitz,2017,66.21,99839,Petrol,Dealer,Manual,0,46.6
WagonR,2018,23.08,91014,Petrol,Individual,Manual,1,15.09
Tucson,2018,56.79,19584,Petrol,Individual,Manual,0,44.17
Fortuner,2020,97.99,10706,Diesel,Individual,Automatic,2,78.25
Swift,2016,45.28,21714,Petrol,Dealer,Manual,3,31.16
Civic,2022,21.44,173171,Petrol,Individual,Automatic,3,14.01
Tucson,2016,48.82,178484,Petrol,Dealer,Automatic,0,26.48
Civic,2021,117.57,5910,Petrol,Dealer,Automatic,0,99.62
Cultus,2023,32.18,125750,Petrol,Individual,Manual,0,26.48
Corolla,2010,98.28,114901,Petrol,Dealer,Manual,0,64.41
WagonR,2020,86.17,17760,Petrol,Dealer,Manual,0,74.84
Sportage,2022,12.43,137093,Petrol,Individual,Manual,2,8.62
WagonR,2022,82.67,89060,Petrol,Dealer,Automatic,2,69.39
Cultus,2014,37.37,150940,Petrol,Dealer,Automatic,1,26.31
Yaris,2020,49.45,142484,Petrol,Individual,Automatic,0,41.28
Vitz,2017,33.47,64072,Petrol,Individual,Manual,2,20.17
Cultus,2018,66.42,106821,Petrol,Dealer,Automatic,0,46.61
Sportage,2015,16.54,54933,Petrol,Dealer,Automatic,0,10.4
Corolla,2013,97.73,159031,Petrol,Dealer,Automatic,0,45.68
Tucson,2010,30.15,54813,Petrol,Dealer,Automatic,2,11.4
Cultus,2024,33.28,89309,Petrol,Individual,Automatic,0,30.94
City,2018,106.64,127160,Petrol,Dealer,Automatic,1,84.15
City,2016,11.21,63005,Petrol,Dealer,Manual,0,5.61
Cultus,2014,23.37,91472,Petrol,Dealer,Automatic,1,14.63
Yaris,2015,35.34,133089,Petrol,Individual,Automatic,0,20.02
Hilux,2018,61.67,147117,Diesel,Dealer,Manual,2,47.89
Swift,2022,6.73,41042,Petrol,Dealer,Manual,1,5.3
City,2010,76.43,179785,Petrol,Individual,Automatic,0,35.5
Swift,2018,88.33,145440,Petrol,Individual,Manual,0,62.88
Tucson,2012,18.2,30248,Petrol,Dealer,Manual,0,9.59
Alto,2022,51.25,102793,Petrol,Individual,Automatic,1,42.97
Yaris,2023,102.66,176372,Petrol,Dealer,Manual,0,93.64
Yaris,2010,86.12,26675,Petrol,Individual,Automatic,1,48.5
Corolla,2024,66.21,16154,Petrol,Dealer,Manual,2,62.83
Alto,2010,111.35,78498,Petrol,Dealer,Manual,2,61.93
WagonR,2012,91.76,109410,Petrol,Dealer,Automatic,0,57.9
Cultus,2020,108.2,91960,Petrol,Individual,Manual,1,87.12
Hilux,2015,12.12,119580,Diesel,Dealer,Manual,0,3.91
Cultus,2022,43.21,171231,Petrol,Individual,Automatic,0,34.58
Cultus,2012,83.49,178191,Petrol,Individual,Manual,1,51.48
Corolla,2011,36.55,104614,Petrol,Dealer,Automatic,0,24.42
Alto,2017,47.03,75717,Petrol,Dealer,Manual,0,34.02
Vitz,2016,17.78,28493,Petrol,Individual,Manual,1,10.38
Swift,2014,53.17,27203,Petrol,Dealer,Manual,1,38.38
Alto,2017,22.64,48832,Petrol,Individual,Automatic,0,16.49
Alto,2013,88.18,134971,Petrol,Dealer,Automatic,0,55.08
City,2023,76.7,91387,Petrol,Individual,Automatic,0,68.53
WagonR,2012,40.25,163128,Petrol,Dealer,Automatic,0,12.4
Alto,2021,85.23,133714,Petrol,Dealer,Automatic,0,69.47
Corolla,2024,70.28,160248,Petrol,Dealer,Manual,3,63.52
Fortuner,2022,39.21,23129,Diesel,Individual,Automatic,0,35.71
Civic,2021,54.24,103825,Petrol,Dealer,Automatic,3,44.84
Vitz,2024,110.92,114655,Petrol,Dealer,Automatic,1,103.87
Tucson,2011,18.47,70072,Petrol,Individual,Manual,1,10.64
Yaris,2020,51.56,91926,Petrol,Individual,Manual,0,43.1
Vitz,2018,72.18,155794,Petrol,Dealer,Automatic,0,52.8
Hilux,2018,23.18,11438,Diesel,Individual,Manual,0,16.12
Sportage,2021,22.15,86760,Petrol,Individual,Automatic,1,17.73
Corolla,2017,88.31,123606,Petrol,Individual,Manual,0,58.9
Sportage,2015,79.87,48084,Petrol,Dealer,Manual,1,56.23
Fortuner,2013,96.94,170087,Diesel,Dealer,Manual,1,59.83
WagonR,2024,28.49,160242,Petrol,Individual,Automatic,0,25.85
Hilux,2022,96.74,156348,Diesel,Dealer,Manual,0,88.28
Yaris,2023,61.8,172538,Petrol,Individual,Automatic,1,54.85
Sportage,2017,76.38,82973,Petrol,Dealer,Manual,0,59.86
City,2021,22.11,106833,Petrol,Individual,Manual,1,17.27
Vitz,2021,110.78,50412,Petrol,Dealer,Automatic,0,98.53
WagonR,2010,104.67,7512,Petrol,Individual,Manual,0,58.06
Yaris,2017,52.64,133902,Petrol,Individual,Automatic,0,42.57
Prius,2013,39.3,77051,Hybrid,Dealer,Automatic,0,22.66
Prius,2017,68.67,34677,Hybrid,Dealer,Automatic,1,45.58
Sportage,2022,10.74,120701,Petrol,Dealer,Automatic,0,6.56
Alto,2023,119.92,122894,Petrol,Individual,Automatic,2,110.73
Corolla,2022,98.56,60018,Petrol,Individual,Automatic,0,91.01
Mehran,2022,12.77,96964,CNG,Individual,Manual,0,10.14
Alto,2023,64.64,29962,Petrol,Dealer,Automatic,2,57.45
Civic,2021,104.73,70451,Petrol,Dealer,Automatic,2,86.23
Fortuner,2012,71.83,75442,Diesel,Individual,Automatic,0,36.33
Corolla,2016,64.78,77935,Petrol,Individual,Automatic,3,47.05
Prius,2023,89.53,125179,Hybrid,Individual,Manual,1,80.21
Sportage,2013,62.4,89637,Petrol,Individual,Automatic,0,42.62
Prius,2015,107.93,17690,Hybrid,Dealer,Manual,1,63.37
Tucson,2023,24.01,124673,Petrol,Dealer,Automatic,0,21.19
Yaris,2014,24.12,76832,Petrol,Dealer,Automatic,0,14.23
Civic,2010,51.18,85087,Petrol,Dealer,Automatic,1,21.59
Fortuner,2011,21.13,64294,Diesel,Individual,Manual,0,12.16
Sportage,2016,85.12,130226,Petrol,Dealer,Manual,0,54.82
City,2015,106.43,40947,Petrol,Individual,Manual,1,66.55
WagonR,2010,75.58,48022,Petrol,Individual,Automatic,1,34.38
Cultus,2019,84.27,61949,Petrol,Dealer,Manual,0,71.16
City,2016,41.85,41655,Petrol,Dealer,Automatic,1,30.85
Hilux,2019,38.48,12031,Diesel,Individual,Manual,0,30.64
Alto,2020,12.22,67741,Petrol,Individual,Automatic,0,8.89
Vitz,2024,117.46,99659,Petrol,Individual,Manual,0,111.1
Vitz,2020,25.7,128473,Petrol,Dealer,Manual,1,21.45
Tucson,2010,114.15,109326,Petrol,Individual,Automatic,0,60.39
Vitz,2019,23.41,26914,Petrol,Individual,Manual,0,19.21
Vitz,2015,50.54,171276,Petrol,Dealer,Automatic,1,26.43
Swift,2013,15.83,118897,Petrol,Dealer,Automatic,1,8.9
Yaris,2021,26.02,8320,Petrol,Dealer,Manual,0,21.31
Prius,2023,88.17,48768,Hybrid,Individual,Manual,1,79.36
Corolla,2022,108.59,92821,Petrol,Individual,Automatic,0,97.21
Yaris,2011,62.56,138898,Petrol,Individual,Manual,0,30.66
Alto,2022,17.73,155447,Petrol,Dealer,Manual,1,12.25
Swift,2013,11.24,100414,Petrol,Individual,Manual,0,4.71
Prius,2024,87.4,176888,Hybrid,Individual,Manual,0,80.67
Alto,2023,14.88,102729,Petrol,Dealer,Manual,0,10.65
Cultus,2011,105.98,79005,Petrol,Individual,Automatic,0,58.24
Alto,2019,95.43,168241,Petrol,Dealer,Automatic,0,65.03
Prius,2013,89.5,148277,Hybrid,Dealer,Manual,0,55.41
City,2020,101.71,7515,Petrol,Individual,Manual,1,86.28
Alto,2011,29.39,67434,Petrol,Individual,Automatic,3,9.68
Alto,2011,11,65679,Petrol,Individual,Automatic,0,3.76
Vitz,2012,78.64,108376,Petrol,Dealer,Manual,0,32.37
Alto,2023,41.91,108010,Petrol,Individual,Automatic,0,36.66
Civic,2022,93.8,33566,Petrol,Dealer,Manual,0,84.38
Vitz,2015,115.97,59430,Petrol,Individual,Automatic,0,67.63
Prius,2020,40.68,163152,Hybrid,Dealer,Manual,2,33.16
Mehran,2015,51.17,17832,CNG,Individual,Automatic,2,37.6
Sportage,2017,69.38,149210,Petrol,Dealer,Manual,0,45.86
Swift,2010,100.66,63271,Petrol,Dealer,Manual,2,54.5
Yaris,2011,72.38,72848,Petrol,Dealer,Manual,3,44.66
Prius,2012,16.49,91913,Hybrid,Dealer,Manual,2,8.75
Cultus,2023,88.59,135056,Petrol,Dealer,Automatic,1,82.58
Civic,2014,37.9,43962,Petrol,Dealer,Manual,1,22.87
Fortuner,2010,16,105405,Diesel,Dealer,Automatic,0,3.98
Yaris,2022,67.98,10119,Petrol,Individual,Automatic,0,59.78
WagonR,2018,42.66,75893,Petrol,Dealer,Manual,0,32.97
Prius,2014,12.68,128649,Hybrid,Individual,Manual,3,5.89
Alto,2018,99.06,19656,Petrol,Dealer,Automatic,0,70.13
Civic,2013,73.55,99052,Petrol,Dealer,Automatic,2,40.97
Mehran,2023,118.63,134034,CNG,Individual,Manual,0,111.9
Mehran,2010,66.02,5179,CNG,Individual,Manual,2,37.13
Prius,2023,104.98,20612,Hybrid,Dealer,Manual,1,95.16
Sportage,2018,104.12,24013,Petrol,Individual,Automatic,1,82.8
Civic,2021,114.15,172579,Petrol,Individual,Automatic,0,90.1
Tucson,2019,95.72,63520,Petrol,Dealer,Automatic,0,73.83
Hilux,2010,114.16,155165,Diesel,Individual,Manual,0,62.38
WagonR,2013,78.92,32291,Petrol,Individual,Manual,0,57.7
City,2012,78.53,28258,Petrol,Individual,Automatic,0,52.13
City,2014,95.72,5335,Petrol,Dealer,Automatic,0,63.57
Cultus,2017,106.52,97073,Petrol,Individual,Manual,2,70.19
Prius,2020,31.72,123302,Hybrid,Dealer,Manual,0,23.73
Corolla,2015,25.39,103424,Petrol,Dealer,Manual,0,13.85
WagonR,2019,107.83,13124,Petrol,Individual,Manual,1,87.48
City,2013,117.08,112290,Petrol,Individual,Automatic,0,83.95
Vitz,2023,61.97,19288,Petrol,Individual,Manual,0,58.16
WagonR,2017,28.76,11746,Petrol,Dealer,Manual,1,18.04
Corolla,2014,95.48,128455,Petrol,Individual,Automatic,0,58.95
Tucson,2016,48.11,121857,Petrol,Dealer,Automatic,0,33.44
WagonR,2010,23.23,179972,Petrol,Dealer,Manual,1,6.16
Prius,2019,31.94,20986,Hybrid,Individual,Automatic,3,23.32
WagonR,2024,32.86,83342,Petrol,Dealer,Automatic,2,29.55
Tucson,2018,97.25,167600,Petrol,Dealer,Manual,2,70.58
Civic,2013,98.16,38078,Petrol,Dealer,Automatic,0,54.1
Sportage,2020,22.86,160988,Petrol,Individual,Automatic,2,16.29
Cultus,2018,51.3,90492,Petrol,Individual,Automatic,2,41.37
WagonR,2018,95.11,34496,Petrol,Individual,Manual,0,71.18
Corolla,2024,18.04,31474,Petrol,Individual,Automatic,2,16.29
